City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,cannonvale,-20.2833,148.7,78.19,83,95,20.09,AU,1702420756
292,beloyarskiy,63.7119,66.6722,4.82,94,100,9.8,RU,1702420756
293,vila franca do campo,37.7167,-25.4333,57.61,72,20,12.68,PT,1702420757
294,pajapan,18.25,-94.7,66.36,92,100,7.38,MX,1702420757
295,polyarnyy,69.1989,33.4478,1.44,100,65,10.31,RU,1702420757
296,bodaybo,57.8506,114.1933,-19.55,99,100,1.16,RU,1702420757
297,sorong,-0.8833,131.25,82.98,79,100,8.59,ID,1702420757
298,bamboo flat,11.7,92.7167,80.69,89,20,2.3,IN,1702420758
299,bath,51.3779,-2.3591,49.14,93,81,6.85,GB,1702420699
300,mar del plata,-38.0023,-57.5575,79.83,86,100,23.0,AR,1702420758
301,carson city,39.1638,-119.7674,48.18,60,100,13.8,US,1702420758
302,kuvandyk,51.4781,57.3552,-5.08,78,81,14.45,RU,1702420758
303,oswego,43.4501,-76.1497,44.74,69,65,5.99,US,1702420758
304,agadez,19.75,10.25,59.49,25,0,8.95,NE,1702420759
305,iwanai,42.9744,140.5089,29.23,65,97,15.66,JP,1702420759
306,mejit,10.2753,170.8646,81.28,82,100,22.66,MH,1702420759
307,nuriootpa,-34.4833,139.0,74.37,31,7,16.58,AU,1702420759
308,amos,48.5669,-78.1162,20.61,78,67,11.05,CA,1702420759
309,chibougamau,49.9168,-74.3659,20.82,93,40,6.91,CA,1702420759
310,san julian,21.0167,-102.1667,63.45,38,64,3.18,MX,1702420760
311,nar'yan-mar,67.6713,53.087,7.11,96,86,8.99,RU,1702420760
312,newman,37.3138,-121.0208,61.29,58,0,3.0,US,1702420760
313,plastun,44.7561,136.2939,3.76,56,6,5.66,RU,1702420760
314,jampur,29.6441,70.5954,57.33,28,3,7.81,PK,1702420760
315,qarah bagh,34.9402,61.7759,33.19,78,100,4.41,AF,1702420760
316,komsomol'skiy,43.9783,46.6985,38.7,82,100,23.44,RU,1702420760
317,brookings,44.3114,-96.7984,28.4,40,0,6.91,US,1702420761
318,yanchep,-31.55,115.6833,75.61,53,0,3.4,AU,1702420761
319,al jubayl,27.0112,49.6583,69.28,67,92,8.41,SA,1702420761
320,vershino-darasunskiy,52.35,115.5167,-26.72,99,8,2.21,RU,1702420761
321,angaur state,6.906,134.13,83.89,76,85,17.98,PW,1702420761
322,luderitz,-26.6481,15.1594,62.58,66,0,21.12,NA,1702420761
323,barreirinha,-2.7933,-57.07,81.21,73,85,2.77,BR,1702420762
324,urengoy,65.9667,78.3667,-4.38,97,99,10.83,RU,1702420762
325,grand-lahou,5.1367,-5.0242,79.83,83,11,2.91,CI,1702420762
326,suomussalmi,64.8869,28.9078,4.91,96,100,6.44,FI,1702420762
327,shambu,9.5667,37.1,51.69,61,44,1.28,ET,1702420762
328,aldinga beach,-35.2793,138.4604,74.26,58,62,14.29,AU,1702420762
329,khovd,48.0056,91.6419,2.61,88,100,1.43,MN,1702420763
330,nyurba,63.2842,118.3319,-15.83,96,100,7.67,RU,1702420763
331,san miguel,13.4833,-88.1833,84.52,56,73,4.27,SV,1702420703
332,ancud,-41.8697,-73.8203,53.64,70,27,11.36,CL,1702420763
333,loei,17.4167,101.5,60.17,87,13,2.59,TH,1702420763
334,mahajanga,-15.7167,46.3167,82.63,75,60,2.86,MG,1702420763
335,grand gaube,-20.0064,57.6608,76.37,91,38,6.85,MU,1702420764
336,ndele,8.4109,20.6473,74.37,23,100,5.1,CF,1702420764
337,ondjiva,-17.0667,15.7333,78.84,50,0,3.44,AO,1702420764
338,zuidhorn,53.2467,6.4028,46.94,94,100,5.75,NL,1702420764
339,bardai,11.65,7.2333,59.5,29,4,9.24,NG,1702420764
340,viedma,-40.8135,-62.9967,65.61,39,48,12.39,AR,1702420765
341,chulakkurgan,43.765,69.1814,-1.68,87,98,6.87,KZ,1702420765
342,yermolayevo,52.7167,55.8,-6.02,78,97,9.26,RU,1702420765
343,talcahuano,-36.7167,-73.1167,67.68,45,0,18.41,CL,1702420739
344,yamada,39.4667,141.95,36.36,73,6,5.19,JP,1702420765
345,san-pedro,4.7485,-6.6363,79.72,83,86,4.09,CI,1702420765
346,mount isa,-20.7333,139.5,89.37,48,18,12.66,AU,1702420766
347,znamensk,48.5842,45.7338,15.24,68,100,22.1,RU,1702420766
348,lhokseumawe,5.1801,97.1507,76.32,86,82,3.98,ID,1702420766
349,ciudad lazaro cardenas,17.9583,-102.2,82.4,60,62,5.48,MX,1702420641
350,nichinan,31.6,131.3667,49.68,79,0,14.58,JP,1702420766
351,piacabucu,-10.4056,-36.4344,79.07,78,3,11.68,BR,1702420766
352,keflavik,64.0049,-22.5624,39.63,93,100,12.66,IS,1702420767
353,nowshahr,36.649,51.496,55.35,88,75,0.0,IR,1702420767
354,le mars,42.7942,-96.1656,30.76,42,40,4.61,US,1702420767
355,coahuayana de hidalgo,18.7,-103.6583,83.35,63,82,4.18,MX,1702420767
356,kirakira,-10.4544,161.9205,82.45,82,91,5.93,SB,1702420767
357,east london,-33.0153,27.9116,61.86,85,100,1.66,ZA,1702420767
358,nguigmi,14.2495,13.1092,65.19,31,0,14.0,NE,1702420768
359,opuwo,-18.0607,13.84,73.31,27,90,7.34,NA,1702420768
360,daru,-9.0763,143.2092,82.71,79,93,9.24,PG,1702420768
361,douliu,23.7094,120.5433,75.76,74,34,2.8,TW,1702420768
362,canutama,-6.5339,-64.3831,82.22,74,100,1.03,BR,1702420768
363,nchelenge,-9.3451,28.734,69.58,88,89,2.08,ZM,1702420768
364,mayna,54.1135,47.6231,-0.81,83,100,17.29,RU,1702420769
365,upington,-28.4478,21.2561,73.78,31,0,5.75,ZA,1702420769
366,redwood falls,44.5394,-95.1169,30.22,31,0,8.05,US,1702420769
367,pisco,-13.7,-76.2167,75.25,69,0,14.97,PE,1702420769
368,linden,6.0,-58.3,78.84,78,97,4.79,GY,1702420769
369,egilsstadir,65.2653,-14.3948,21.11,79,0,8.05,IS,1702420769
370,nampula,-15.1165,39.2666,78.75,61,0,12.66,MZ,1702420770
371,macclenny,30.2822,-82.1221,57.96,75,97,3.0,US,1702420770
372,kupang,-10.1667,123.5833,79.38,100,75,2.3,ID,1702420770
373,gaeta,41.2183,13.5628,61.75,93,100,7.27,IT,1702420770
374,fortuna,40.5982,-124.1573,56.93,89,0,1.99,US,1702420770
375,carrizo springs,28.5219,-99.8606,65.01,59,100,8.05,US,1702420770
376,ryotsu-minato,38.0833,138.4333,43.61,65,46,9.17,JP,1702420771
377,bol,13.4586,14.7147,69.49,40,95,19.57,TD,1702420771
378,talavera de la reina,39.9635,-4.8308,55.71,88,97,16.2,ES,1702420771
379,sinop,41.7711,34.8709,41.94,94,100,1.66,TR,1702420771
380,kapuskasing,49.4169,-82.4331,14.09,79,75,18.41,CA,1702420771
381,namibe,-15.1961,12.1522,73.18,78,94,6.8,AO,1702420771
382,greymouth,-42.4667,171.2,58.32,62,88,5.12,NZ,1702420772
383,la ronge,55.1001,-105.2842,14.25,67,75,4.61,CA,1702420772
384,wucheng,29.6008,118.175,44.42,95,100,2.57,CN,1702420772
385,sarai,53.7458,41.0213,11.01,93,100,18.75,RU,1702420772
386,baoding,38.8511,115.4903,26.65,94,100,4.29,CN,1702420772
387,atherton,53.5237,-2.4935,46.54,90,100,1.99,GB,1702420773
388,ziro,27.6333,93.8333,39.67,91,76,2.95,IN,1702420773
389,dali,25.7,100.1833,46.09,90,7,2.91,CN,1702420773
390,machico,32.7,-16.7667,68.72,75,20,9.22,PT,1702420773
391,at taj,24.2049,23.2857,52.52,68,0,7.34,LY,1702420773
392,vadso,70.0744,29.7487,12.36,92,75,13.8,NO,1702420773
393,nuku'alofa,-21.1333,-175.2,80.94,78,40,6.91,TO,1702420774
394,nabire,-3.3667,135.4833,80.69,84,91,3.69,ID,1702420774
395,ljusdal,61.8288,16.0913,8.51,98,90,4.16,SE,1702420774
396,heath,40.0228,-82.4446,44.87,62,0,8.05,US,1702420774
397,pathein,16.7833,94.7333,73.18,92,4,4.65,MM,1702420774
398,rabo de peixe,37.8,-25.5833,56.71,77,20,10.36,PT,1702420775
399,vila velha,-20.3297,-40.2925,75.15,89,75,10.36,BR,1702420682
400,baganga,7.5739,126.56,79.9,84,95,7.05,PH,1702420775
401,qamdo,31.1667,97.2333,11.66,64,8,7.92,CN,1702420775
402,sisimiut,66.9395,-53.6735,18.05,90,100,11.01,GL,1702420775
403,san patricio,28.017,-97.5169,69.89,60,100,11.86,US,1702420776
404,cascade,47.3,-111.3675,38.77,69,0,8.99,US,1702420518
405,novodvinsk,64.4165,40.8122,11.95,95,100,6.78,RU,1702420776
406,zhaqsy,51.9083,67.3133,-20.09,92,11,7.43,KZ,1702420776
407,phan rang-thap cham,11.5667,108.9833,73.11,86,40,6.89,VN,1702420776
408,zavodoukovsk,56.5042,66.5515,-9.15,85,100,11.16,RU,1702420776
409,liman,48.9884,37.8023,26.85,93,100,14.14,UA,1702420776
410,skuratovskiy,54.1108,37.6011,17.62,94,100,16.42,RU,1702420777
411,tofol,5.3248,163.0078,83.98,79,75,17.27,FM,1702420777
412,yaren,-0.5472,166.916,84.2,77,90,11.05,NR,1702420777
413,trairi,-3.2778,-39.2689,80.31,76,6,11.25,BR,1702420488
414,guiuan,11.0333,125.7247,82.92,78,61,18.28,PH,1702420777
415,sao lourenco do sul,-31.3653,-51.9783,71.78,80,1,15.97,BR,1702420778
416,saint-denis,48.9167,2.3333,52.09,86,75,16.11,FR,1702420778
417,nogliki,51.8333,143.1667,-13.67,93,26,5.99,RU,1702420778
418,elko,41.0002,-115.5012,39.15,67,91,7.0,US,1702420609
419,gisborne,-38.6533,178.0042,64.36,42,61,5.35,NZ,1702420778
420,vylkove,45.4021,29.586,40.05,86,11,7.65,UA,1702420779
421,terrace,54.5163,-128.6035,33.71,93,100,6.91,CA,1702420669
422,bonthe,7.5264,-12.505,79.84,81,19,5.23,SL,1702420779
423,wynyard,-41.0,145.7167,64.74,78,97,14.05,AU,1702420779
424,porto novo,6.4965,2.6036,82.22,76,8,3.96,BJ,1702420779
425,simanggang,1.2472,111.4528,75.18,94,77,3.44,MY,1702420780
426,elliot lake,46.3834,-82.6331,22.17,80,89,11.9,CA,1702420780
427,vichuga,57.2128,41.9301,10.94,93,100,15.41,RU,1702420780
428,sao vicente,-23.9631,-46.3919,75.38,49,23,5.99,BR,1702420780
429,vavuniya,8.7514,80.4971,71.46,91,82,3.58,LK,1702420780
430,hotan,37.0997,79.9269,35.85,22,19,3.42,CN,1702420781
431,nelson bay,-32.7167,152.15,82.09,76,11,15.99,AU,1702420781
432,brandon,27.9378,-82.2859,70.12,73,0,8.05,US,1702420491
433,cananea,30.95,-110.3,66.42,15,44,16.89,MX,1702420781
434,nema,57.5067,50.5011,1.63,77,100,13.78,RU,1702420781
435,howard springs,-12.497,131.047,83.88,94,100,2.59,AU,1702420781
436,ploermel,47.9317,-2.3978,47.05,87,19,12.35,FR,1702420782
437,loa janan,-0.583,117.095,74.64,98,100,1.81,ID,1702420782
438,gamba,-2.65,10.0,77.41,90,100,1.16,GA,1702420782
439,taoudenni,22.6783,-3.9836,68.7,20,49,11.74,ML,1702420782
440,serenje,-13.2325,30.2352,63.03,96,99,1.36,ZM,1702420782
441,agri,39.6667,43.1667,36.07,98,100,2.3,TR,1702420782
442,lima,-12.0432,-77.0282,70.05,68,20,13.8,PE,1702420664
443,heihe,50.2441,127.4902,-15.61,90,5,4.27,CN,1702420783
444,groningen,53.25,6.75,46.47,95,100,5.75,NL,1702420663
445,agua branca,-5.8922,-42.6361,83.71,46,73,1.95,BR,1702420783
446,katsuren-haebaru,26.3369,127.8719,69.82,72,100,5.75,JP,1702420783
447,guangming,45.3333,122.7833,-3.23,98,56,0.76,CN,1702420758
448,gorom-gorom,14.4439,-0.2361,68.16,20,0,9.93,BF,1702420784
449,susuman,62.7833,148.1667,-22.02,98,88,3.0,RU,1702420784
450,santo antonio,-6.3106,-35.4789,77.09,79,0,11.43,BR,1702420784
451,mancio lima,-7.6142,-72.8958,84.27,79,40,5.75,BR,1702420784
452,constantia,44.1833,28.65,39.88,82,25,10.98,RO,1702420784
453,al badari,26.9926,31.4155,57.34,57,0,7.25,EG,1702420784
454,mahina,-17.5065,-149.489,83.97,70,75,3.44,PF,1702420785
455,yuzhno-kurilsk,44.0306,145.8556,33.37,76,32,24.36,RU,1702420785
456,tobruk,32.0836,23.9764,61.72,73,2,12.62,LY,1702420785
457,curitibanos,-27.2828,-50.5844,62.8,82,0,5.77,BR,1702420785
458,al muwayh,22.4333,41.7583,64.44,75,17,16.49,SA,1702420785
459,soio,-6.1349,12.3689,80.92,78,99,3.51,AO,1702420785
460,enoch,37.7733,-113.0244,46.15,36,0,3.44,US,1702420561
461,port augusta,-32.5,137.7667,78.6,35,21,16.89,AU,1702420786
462,kabwe,-14.4469,28.4464,68.07,87,100,2.04,ZM,1702420786
